Movie Name,Language,IMDb Rating,Running Time,Year of Release,Maturity Rating,Plot,Scaled IMDb Rating
Stronger (2017),English,6.9,1 h 59 min,2017.0,18+,Jake Gyllenhaal stars in the inspiring true story of the real life 2013 Boston Marathon bombing survivor Jeff Bauman.,0.6790123456790125
Teen Cup Chaa,Bengali,5.7,47min,2018.0,13+,"Three different stories blended in a single movie, are brewed and connected by the exemplary Bengali beverage, Chaa.",0.5308641975308642
Ramgarh Ke Sholay,Hindi,4.8,2 h 4 min,1991.0,All,"Ramgarh Ke Sholay Is Action Comedy Hindi Movie, Directed By Ajit Dewani, Starring Amjad Khan, Johnny Lever, Kishore Bhanushali And Vijay Saxena In The Lead Roles. The Film Parodies The Classic Bollywood Blockbuster Sholay. Chaos Ensues After Impostors Of Prominent Actors Turn Up To Save Jaiwanti And Other Villagers From The Terror Of Gabbar And His Henchmen Lamba And Goriya.",0.41975308641975306
Parampara,Hindi,5.7,2 h 28 min,1993.0,13+,"Friends Pratap and Ranvir eventually discover that there is an old score to be settled between their families. Unfortunately, this can only be settled when they face each other in a deadly duel.",0.5308641975308642
Manmatha Raja,Kannada,5.1,2 h 9 min,1989.0,NR,"Manmatha Raja is a 1989 Indian Kannada film, directed by Om Saiprakash and produced by J Devadas Reddy. The film stars Kashinath, Sudharani, Jaggesh, Omganesh, Srinivasamurthy, Lohithashwa, Mysore Lokesh, Aravind, Sadashiva Brahmavar and Dingri Nagaraj in lead roles. The film had musical score Chakravarthy.",0.45679012345679015
Dash Mash Dash Diner Galpo,Bengali,5.7,1 h 54 min,2019.0,All,"The Last Refuge For Elderly Parents Abandoned By Their Children, Apanjan Is An Old Age Home. The Film Revolves Around The Lives Of Apanjans Inhabitants, And How Karma Finds Its Way To Teach Their Ungrateful Children An Important Life Lesson.",0.5308641975308642
Bodhai Yeri Budhi Maari,Tamil,6.4,1 h 57 min,2019.0,13+,"Karthik is jubilant, as he is getting ready to marry his lady love. At his bachelor's party, he takes a drug, which is very powerful than cocaine. After that, there happened a big twist in his life. Meanwhile, a journalist is looking for the drug addicts to get an interesting article and at the same time, a corrupt cop searches for the drug peddlers. Whether he rescue or not in rest of the film.",0.617283950617284
Pagadi Aattam,Tamil,5.7,2 h 2 min,2017.0,All,"Suriya is a spoiled brat who deceives girls in the name of romance. Kousalya is one of the victim who falls into his trap. One day, Suriya gets kidnapped and finds himself trapped in a wooden box akin to a coffin. Following Suriya's parents complaint, ACP Devendra Kumar (Rahman) takes up the case. What happens in course of investigation forms the rest of the story.",0.5308641975308642
World War Z,Hindi,7.0,1 h 56 min,2013.0,13+,"World War Z is the fast-paced, pulse-pounding epic of the potential last days of the human race. Former United Nations employee Gerry Lane (Brad Pitt) is called in to help stop the pandemic that has spread around the world.",0.6913580246913581
Joy of Data,English,6.9,59min,2016.0,13+,"This mind-expanding, high-tech documentary, hosted by mathematician Dr. Hannah Fry, reveals what data is and how it is captured, stored, shared, and analyzed. Fry tells the story of the engineers of the data age, people most of us have never heard of despite creating a technological and philosophical revolution. Modern society runs on data, making information the world's most valuable asset.",0.6790123456790125
Faasle,Hindi,4.6,2 h 26 min,1985.0,16+,Vikram (Sunil Dutt) is a wealthy man and has brought up his motherless daughter Chandni (Farah) and son Sanjay (Farooq Shaikh) sacrificing his own personal happiness. When Vijay (Rohan Kapoor) comes into Chandni’s life - her father’s disapproval and her impending arranged marriage threatens the love between Chandni and Vijay. FAASLE is a story of everyone doing what they believe to be right.,0.3950617283950617
Vasudev Balwant Phadke,Marathi,6.5,2 h 6 mins,2007.0,All,Vasudev Balwant Phadke's sacrifice rekindled the dying flames of the 1857 Uprising and he came to be worshipped as the foremost revolutionary of the nation. Watch the movie to find out how he fought against all odds.,0.6296296296296297
Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1 h 59 min,1985.0,All,Two sons and their families get together to celebrate their mother's 60th birthday in their ancestral house. But problems develop when the younger son reveals his plan to sell the house for money and put the mother in an old age home.,0.7160493827160495
Greenfingers,English,6.8,1 h 31 min,2001.0,18+,"Inmate Colin Briggs (Clive Owen) is introduced to gardening and when the thriving prison garden attracts the attention of flamboyant gardening expert, Georgina Woodhouse (Helen Mirren), she offers to sponsor the inmates in an upcoming flower show. At the Hampton Court Flower Show, Colin meets Georgina's daughter and a romance blooms.",0.6666666666666667
Vitamin She,Gujarati,5.7,2 h 17 min,2017.0,13+,"Jigar is a very happy go lucky freedom lover guy. He has a little fear about love from his childhood. His friends convince him that he needs a girl (Vitamin She) in his life to make his life worth living. One day Jigar accidently meets Shruti and falls for her. After some time they both become lovers. Everything is glossy and colorful in their life. But after some months, their illusion breaks.",0.5308641975308642
Chaduranga,Kannada,6.1,2 h 18 min,1985.0,NR,"Chaduranga is a 1985 Indian Kannada film, directed by V Somashekar and produced by R Venkataraman. The film stars Ambarish, Ambika, Vajramani and Mukyamanthri Chandru in lead roles. Music of the film was composed by G K Venkatesh.",0.5802469135802469
Mugavaree,Tamil,7.2,2 h 36 min,2000.0,All,"Sridhar (Ajith), an aspiring music director, has been struggling to get a foothold in the music industry for many years. He falls in love but is willing to put his relationship on a backburner for success.",0.7160493827160495
Qatil,Hindi,6.0,2 h 20 min,1988.0,13+,"Kumar's father is a public prosecutor and a strong advocate of the death penalty. Kumar, who opposes his father's views, decides to teach his father a lesson by implicating himself in a murder case.",0.5679012345679013
Noor Jahan,Bengali,5.3,2 h 22 min,2018.0,13+,A Bengali romantic film about the love story of Noor and Jahan that gets threatened by the brutality of politics.,0.4814814814814815
Aftermath,English,5.7,1 h 33 min,2017.0,16+,"Roman, a construction foreman, loses his wife and daughter in a devastating plane crash. He blames the air traffic controller, Jake Bonanos, who also struggles with the guilt of his mistake.",0.5308641975308642
